,year-month,year,total_violent_count,total_gun_poss_count
0,2014-01,2014,1201,144
1,2014-02,2014,910,103
2,2014-03,2014,1091,167
3,2014-04,2014,1248,224
4,2014-05,2014,1461,266
5,2014-06,2014,1496,264
6,2014-07,2014,1539,283
7,2014-08,2014,1512,207
8,2014-09,2014,1498,191
9,2014-10,2014,1557,196
10,2014-11,2014,1277,168
11,2014-12,2014,1449,175
12,2015-01,2015,1263,192
13,2015-02,2015,828,134
14,2015-03,2015,1114,265
15,2015-04,2015,1212,225
16,2015-05,2015,1373,228
17,2015-06,2015,1382,246
18,2015-07,2015,1582,278
19,2015-08,2015,1569,252
20,2015-09,2015,1552,234
21,2015-10,2015,1533,220
22,2015-11,2015,1297,188
23,2015-12,2015,1518,133
24,2016-01,2016,1536,135
25,2016-02,2016,1232,157
26,2016-03,2016,1438,206
27,2016-04,2016,1392,232
28,2016-05,2016,1756,258
29,2016-06,2016,1677,263
30,2016-07,2016,1910,234
31,2016-08,2016,2034,238
32,2016-09,2016,1756,266
33,2016-10,2016,1919,232
34,2016-11,2016,1836,239
35,2016-12,2016,1635,229
36,2017-01,2017,1702,278
37,2017-02,2017,1319,292
38,2017-03,2017,1376,265
39,2017-04,2017,1530,321
40,2017-05,2017,1676,349
41,2017-06,2017,1731,367
42,2017-07,2017,1796,434
43,2017-08,2017,1893,379
44,2017-09,2017,1756,356
45,2017-10,2017,1823,297
46,2017-11,2017,1731,268
47,2017-12,2017,1614,300
48,2018-01,2018,1476,336
49,2018-02,2018,1161,230
50,2018-03,2018,1391,299
51,2018-04,2018,1320,310
52,2018-05,2018,1606,398
53,2018-06,2018,1615,396
54,2018-07,2018,1694,407
55,2018-08,2018,1687,397
56,2018-09,2018,1485,344
57,2018-10,2018,1538,325
58,2018-11,2018,1381,304
59,2018-12,2018,1437,333
60,2019-01,2019,1242,312
61,2019-02,2019,984,283
62,2019-03,2019,1093,364
63,2019-04,2019,1245,333
64,2019-05,2019,1368,468
65,2019-06,2019,1474,421
66,2019-07,2019,1533,509
67,2019-08,2019,1453,446
68,2019-09,2019,1298,388
69,2019-10,2019,1311,336
70,2019-11,2019,1206,317
71,2019-12,2019,1287,339
72,2020-01,2020,1269,340
73,2020-02,2020,1104,359
74,2020-03,2020,999,298
75,2020-04,2020,925,250
76,2020-05,2020,1252,536
77,2020-06,2020,1329,509
78,2020-07,2020,1510,539
79,2020-08,2020,1521,631
80,2020-09,2020,1400,510
81,2020-10,2020,1418,528
82,2020-11,2020,1305,502
83,2020-12,2020,1086,509
84,2021-01,2021,1257,467
85,2021-02,2021,962,342
86,2021-03,2021,1050,497
87,2021-04,2021,1116,533
88,2021-05,2021,1215,587
89,2021-06,2021,1369,630
90,2021-07,2021,1538,516
91,2021-08,2021,1450,447
92,2021-09,2021,1584,488
93,2021-10,2021,1558,429
94,2021-11,2021,1412,426
95,2021-12,2021,1513,341
96,2022-01,2022,1204,310
97,2022-02,2022,1101,394
98,2022-03,2022,1176,412
99,2022-04,2022,1202,460
100,2022-05,2022,1436,669
101,2022-06,2022,1526,609
102,2022-07,2022,1530,575
103,2022-08,2022,1566,529
104,2022-09,2022,1600,518
105,2022-10,2022,1682,446
106,2022-11,2022,1487,333
107,2022-12,2022,1541,331
108,2023-01,2023,1501,458
109,2023-02,2023,1083,427
110,2023-03,2023,1312,418
111,2023-04,2023,1447,409
112,2023-05,2023,1569,497
113,2023-06,2023,1581,491
114,2023-07,2023,1786,591
115,2023-08,2023,2002,508
116,2023-09,2023,1910,433
117,2023-10,2023,1944,397
118,2023-11,2023,1705,395
119,2023-12,2023,1655,299
120,2024-01,2024,1333,412
121,2024-02,2024,1279,394
122,2024-03,2024,1442,407
123,2024-04,2024,1404,374
124,2024-05,2024,1533,413
125,2024-06,2024,1663,465
126,2024-07,2024,1723,597
127,2024-08,2024,1563,467
128,2024-09,2024,1556,468
129,2024-10,2024,1562,401
130,2024-11,2024,1362,322
131,2024-12,2024,1286,374
132,2025-01,2025,1062,368
133,2025-02,2025,855,345
134,2025-03,2025,1022,441
135,2025-04,2025,1060,370
136,2025-05,2025,791,253
